id:ID,name,type,security_domain,subnet,role_guess,zone_id,zone_label,inbound_summary,outbound_summary,inbound_count,outbound_count
10.10.17.138,10.10.17.138,Host,Internal,10.10.17,hybrid,flow_svc_database+remote|10.10.17|callers:10.26.0|role:hybrid,数据库+远程管理 · 10.10.17（服务提供） · 被 10.26.0 调用 · 混合角色,10.26.0.26(tcp:22;6379;36000),10.26.0.26(tcp:6379),1,1
10.20.1.6,10.20.1.6,Host,Internal,10.20.1,client,"flow_cli_web|10.20.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000);10.20.3.25(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443;36000),2,2
10.26.1.173,10.26.1.173,Host,Internal,10.26.1,client,"flow_cli_web|10.26.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.26.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443),1,2
10.10.6.138,10.10.6.138,Host,Internal,10.10.6,client,"flow_cli_web|10.10.6|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.6 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000);10.20.3.25(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443;36000),2,2
10.26.1.7,10.26.1.7,Host,Internal,10.26.1,client,"flow_cli_web|10.26.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.26.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443),1,2
10.16.0.156,10.16.0.156,Host,Internal,10.16.0,client,"flow_cli_web|10.16.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.16.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443),1,2
10.26.0.26,10.26.0.26,Host,Internal,10.26.0,collector,flow_collector,采集节点（监控/汇聚）,10.10.17.138(tcp:6379);10.20.1.6(tcp:443;1514;1515;36000);10.26.1.173(tcp:443;1514;1515;36000);10.10.6.138(tcp:443;1514;1515;36000);10.26.1.7(tcp:443;1514;1515;36000)+2375more,10.10.36.75(tcp:80);10.16.36.66(tcp:80);10.20.3.25(tcp:22;443;1514;1515;1516;1517;3306;6379;9000;9009;9093;9094;36000);10.16.0.133(tcp:53;36000;51903);10.16.0.5(tcp:53;36000;51903)+3730more,2380,3735
10.10.3.13,10.10.3.13,Host,Internal,10.10.3,unknown,flow_cli_none|10.10.3,监控终端 · 10.10.3,10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:1514),1,1
10.10.2.133,10.10.2.133,Host,Internal,10.10.2,unknown,flow_cli_none|10.10.2,监控终端 · 10.10.2,10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:1514),1,1
10.20.3.25,10.20.3.25,Host,Internal,10.20.3,collector,flow_collector,采集节点（监控/汇聚）,10.26.0.26(tcp:22;443;1514;1515;1516;1517;3306;6379;9000;9009;9093;9094;36000);10.20.0.134(tcp:443;36000);10.20.1.7(tcp:443;36000);10.10.6.138(tcp:443;36000);10.10.25.187(tcp:6379)+2313more,10.26.0.26(tcp:1516;1517;3306;6379;9000;9009;9093;9094;36000);10.16.0.5(tcp:53;52785);10.16.0.133(tcp:53;56740);10.20.15.47(tcp:7070);10.20.11.33(tcp:7070)+244more,2318,249
10.10.25.95,10.10.25.95,Host,Internal,10.10.25,hybrid,flow_svc_remote|10.10.25|callers:10.26.0|role:hybrid,远程管理 · 10.10.25（服务提供） · 被 10.26.0 调用 · 混合角色,10.26.0.26(tcp:22;36000);10.20.3.25(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443;36000),2,2
10.10.80.123,10.10.80.123,Host,Internal,10.10.80,client,flow_cli_database+system+web|10.10.80|peers:10.26.0|role:client,数据库+系统服务+Web 服务 客户端 · 10.10.80 · 访问 10.26.0 · 客户端,,10.26.0.26(tcp:111;443;1290;1516;3306;6379;8081;9000;9009;9090;9197),0,1
10.28.1.172,10.28.1.172,Host,Internal,10.28.1,unknown,flow_cli_none|10.28.1,监控终端 · 10.28.1,10.26.0.26(tcp:36000),10.26.0.26(tcp:1514),1,1
10.16.2.160,10.16.2.160,Host,Internal,10.16.2,client,"flow_cli_web|10.16.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.16.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443),1,2
10.16.0.163,10.16.0.163,Host,Internal,10.16.0,client,"flow_cli_web|10.16.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.16.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.89.66,10.10.89.66,Host,Internal,10.10.89,unknown,flow_cli_none|10.10.89,监控终端 · 10.10.89,10.26.0.26(tcp:36000),10.26.0.26(tcp:36000),1,1
10.16.0.148,10.16.0.148,Host,Internal,10.16.0,client,"flow_cli_web|10.16.0|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.16.0 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443),1,2
10.28.1.173,10.28.1.173,Host,Internal,10.28.1,client,"flow_cli_web|10.28.1|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.28.1 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.0.134,10.20.0.134,Host,Internal,10.20.0,client,flow_cli_web|10.20.0|peers:10.20.3|role:client,Web 服务 客户端 · 10.20.0 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:36000);10.20.3.25(tcp:36000),10.20.3.25(tcp:443;36000),2,1
10.20.1.7,10.20.1.7,Host,Internal,10.20.1,client,flow_cli_web|10.20.1|peers:10.20.3|role:client,Web 服务 客户端 · 10.20.1 · 访问 10.20.3 · 客户端,10.26.0.26(tcp:1514;36000);10.20.3.25(tcp:36000),10.20.3.25(tcp:443;36000);10.26.0.26(tcp:1514),2,2
10.10.25.187,10.10.25.187,Host,Internal,10.10.25,hybrid,"flow_svc_database+remote|10.10.25|callers:10.20.3,10.26.0|role:hybrid","数据库+远程管理 · 10.10.25（服务提供） · 被 10.20.3,10.26.0 调用 · 混合角色",10.26.0.26(tcp:22;36000);10.20.3.25(tcp:6379),10.20.3.25(tcp:6379),2,1
10.10.6.147,10.10.6.147,Host,Internal,10.10.6,client,"flow_cli_web|10.10.6|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.10.6 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000);10.20.3.25(tcp:36000),10.20.3.25(tcp:443;36000);10.26.0.26(tcp:443;1514;1515),2,2
10.16.2.165,10.16.2.165,Host,Internal,10.16.2,client,"flow_cli_web|10.16.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.16.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.20.3.25(tcp:443;36000);10.26.0.26(tcp:443;1514;1515;36000),1,2
10.28.2.14,10.28.2.14,Host,Internal,10.28.2,client,"flow_cli_web|10.28.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.28.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.2.20,10.20.2.20,Host,Internal,10.20.2,client,"flow_cli_web|10.20.2|peers:10.20.3,10.26.0|role:client","Web 服务 客户端 · 10.20.2 · 访问 10.20.3,10.26.0 · 客户端",10.26.0.26(tcp:1514;36000),10.26.0.26(tcp:443;1514;1515;36000);10.20.3.25(tcp:443),1,2
10.20.15.29,10.20.15.29,Host,Internal,10.20.15,hybrid,flow_svc_remote|10.20.15|callers:10.26.0|role:hybrid,远程管理 · 10.20.15（服务提供） · 被 10.26.0 调用 · 混合角色,10.26.0.26(tcp:22;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.20.12.35,10.20.12.35,Host,Internal,10.20.12,hybrid,flow_svc_remote|10.20.12|callers:10.26.0|role:hybrid,远程管理 · 10.20.12（服务提供） · 被 10.26.0 调用 · 混合角色,10.26.0.26(tcp:22;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
10.10.25.88,10.10.25.88,Host,Internal,10.10.25,hybrid,flow_svc_remote|10.10.25|callers:10.26.0|role:hybrid,远程管理 · 10.10.25（服务提供） · 被 10.26.0 调用 · 混合角色,10.26.0.26(tcp:22;36000),10.26.0.26(tcp:443;1514;1515);10.20.3.25(tcp:443),1,2
