ip,subnet_24,zone_label,service_type,service_confidence,ports,protocols,community,degree,in_degree,out_degree,anomaly_score,anomaly_level,is_anomaly
10.10.17.138,10.10.17,"10.10.17|Cache|22,6379,36000",Cache,0.33,22|6379|36000,,53,1,5191,59,0.0197,Low,False
10.20.1.6,10.20.1,10.20.1|Agent|36000,Agent,1.0,36000,,88,2,488,186,0.0611,Low,False
10.26.1.173,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,36,2,0,24,0.0611,Low,False
10.10.6.138,10.10.6,10.10.6|Agent|36000,Agent,1.0,36000,,29,2,1508,264,0.0611,Low,False
10.26.1.7,10.26.1,"10.26.1|Web|443,36000",Web,0.5,443|36000,,40,2,397,164,0.0611,Low,False
10.16.0.156,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,52,2,6004,169,0.0611,Low,False
10.10.36.75,10.10.36,10.10.36|Web|80,Web,1.0,80,,10,1,0,173,0.1706,Low,False
10.16.36.66,10.16.36,10.16.36|Web|80,Web,1.0,80,,10,1,0,173,0.1706,Low,False
10.10.3.13,10.10.3,"10.10.3|Logging|1514,36000",Logging,0.5,1514|36000,,24,1,5562,177,0.0952,Low,False
10.10.2.133,10.10.2,"10.10.2|Logging|1514,36000",Logging,0.5,1514|36000,,129,1,5579,177,0.0952,Low,False
10.16.0.133,10.16.0,"10.16.0|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,27,2,3,263,0.2876,Low,False
10.16.0.5,10.16.0,"10.16.0|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,61,2,6,263,0.2876,Low,False
10.10.25.95,10.10.25,"10.10.25|RemoteAccess|22,36000",RemoteAccess,0.5,22|36000,,30,2,70,108,0.1366,Low,False
10.26.13.39,10.26.13,"10.26.13|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,73,2,0,137,0.1366,Low,False
10.26.11.68,10.26.11,"10.26.11|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,87,2,0,101,0.1366,Low,False
10.10.80.123,10.10.80,"10.10.80|Database|111,443,1290,1516,3306,6379,8081,9000,9009,9090,9197",Database,0.09,111|443|1290|1516|3306|6379|8081|9000|9009|9090|9197,,33,1,0,17,0.5908,Low,False
10.10.17.114,10.10.17,"10.10.17|Logging|443,1514,1515",Logging,0.67,443|1514|1515,,78,2,0,18,0.0611,Low,False
10.28.1.172,10.28.1,10.28.1|Agent|36000,Agent,1.0,36000,,98,1,0,7,0.0952,Low,False
10.16.2.160,10.16.2,"10.16.2|Web|443,36000",Web,0.5,443|36000,,12,2,0,94,0.0611,Low,False
10.16.0.163,10.16.0,"10.16.0|Web|443,1514,36000",Web,0.33,443|1514|36000,,90,2,1,8,0.0611,Low,False
10.201.20.174,10.201.20,10.201.20|Web|8080,Web,1.0,8080,,265,1,0,1,0.1706,Low,False
10.10.89.66,10.10.89,10.10.89|Agent|36000,Agent,1.0,36000,,32,1,10,2,0.1706,Low,False
10.16.0.148,10.16.0,"10.16.0|Web|443,36000",Web,0.5,443|36000,,57,2,317,61,0.0611,Low,False
10.28.1.173,10.28.1,"10.28.1|Web|443,36000",Web,0.5,443|36000,,100,2,0,8,0.0611,Low,False
10.100.113.134,10.100.113,"10.100.113|Agent|22,53,443,1514,1515,9092,9200,9201,18060,22003,36000",Agent,0.27,22|53|443|1514|1515|9092|9200|9201|18060|22003|36000,,17,213,224,9,0.8705,High,True
10.20.0.134,10.20.0,10.20.0|Agent|36000,Agent,1.0,36000,,8,2,384,76,0.0938,Low,False
10.20.1.7,10.20.1,"10.20.1|Logging|1514,36000",Logging,0.5,1514|36000,,65,2,5588,26,0.0183,Low,False
10.10.25.187,10.10.25,"10.10.25|Cache|22,6379,36000",Cache,0.33,22|6379|36000,,42,2,5144,89,0.0183,Low,False
